id_parlamentar_voz,casa,ano,uf,id_partido,total_votos,total_votos_uf
174270,camara,2018,SP,36833,91797,21104181
1204570,camara,2018,MA,36801,47757,3270678
1204365,camara,2018,SC,37901,27443,3548458
1160673,camara,2018,RS,37906,151719,5845077
1178996,camara,2018,RS,36899,93088,5845077
1152605,camara,2018,RJ,36839,40199,7720770
1204419,camara,2018,GO,36833,100437,3031194
1107283,camara,2018,PR,36844,212513,5731922
174419,camara,2018,PE,36832,80498,4331764
1198197,camara,2018,MG,36898,37620,10078120
1204513,camara,2018,SP,36837,31718,21104181
1204531,camara,2018,SP,37903,119034,21104181
1160667,camara,2018,SP,37903,134301,21104181
1204442,camara,2018,RJ,36837,62089,7720770
173460,camara,2018,PR,36786,113252,5731922
1204408,camara,2018,SE,36765,64132,998669
1204456,camara,2018,RJ,36899,54573,7720770
1204465,camara,2018,RR,36834,14751,270708
1204548,camara,2018,CE,36837,97201,4594520
1178964,camara,2018,RS,36832,109053,5845077
1178873,camara,2018,ES,36844,73384,1933018
1204373,camara,2018,SC,36815,179307,3548458
1178909,camara,2018,PA,36769,102554,3956457
1204444,camara,2018,RJ,36837,345234,7720770
173482,camara,2018,RS,36844,108585,5845077
1204539,camara,2018,MG,36899,120489,10078120
1178981,camara,2018,SP,36899,49653,21104181
173772,camara,2018,PR,36899,110717,5731922
1178884,camara,2018,MA,36899,77661,3270678
1178959,camara,2018,RR,37903,13299,270708
1141450,camara,2018,RJ,36834,63561,7720770
1160674,camara,2018,PB,36815,92468,1989377
1204533,camara,2018,CE,36786,154338,4594520
1204564,camara,2018,BA,36793,54858,6868013
1204508,camara,2018,MG,36896,60509,10078120
167138,camara,2018,PI,37903,96277,1787802
1204436,camara,2018,AL,36899,71847,1458674
173531,camara,2018,SP,36839,155334,21104181
174848,camara,2018,RJ,36779,71646,7720770
1108338,camara,2018,RO,37903,34193,783305
1160672,camara,2018,RJ,36839,24295,7720770
174273,camara,2018,SP,36832,99974,21104181
1160570,camara,2018,RS,37903,89707,5845077
1178839,camara,2018,AC,36899,28717,424991
1204435,camara,2018,AC,36786,9537,424991
1178842,camara,2018,AL,36832,178645,1458674
1160531,camara,2018,RR,36815,13429,270708
174366,camara,2018,GO,36815,106014,3031194
1141458,camara,2018,BA,37906,84684,6868013
1178970,camara,2018,SE,36844,59933,998669
1204429,camara,2018,PE,36832,460387,4331764
1141459,camara,2018,RN,37906,93505,1609833
1112437,camara,2018,MA,36899,67352,3270678
1204576,camara,2018,BA,36815,84455,6868013
1178910,camara,2018,PA,36834,95582,3956457
1204468,camara,2018,RR,36886,8491,270708
1204546,camara,2018,SP,36837,1078666,21104181
1205550,camara,2018,RJ,36815,58113,7720770
1178857,camara,2018,BA,36844,135657,6868013
