id_discurso,id_parlamentar_voz,casa,tipo,data,local,resumo,link
1509,1156190,camara,COMO LÍDER,2019-04-09,NA,Protesto contra a moção de repúdio à reforma da Previdência Social apresentada por participantes na Marcha a Brasília em Defesa dos Municípios. Importância da aprovação da matéria para a destinação de recursos orçamentárias aos Municípios brasileiros.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=10%2F4%2F2019&txPagina=165&txSuplemento=&enviar=Pesquisar
1510,1156190,camara,PELA ORDEM,2019-04-10,NA,"Posicionamento do NOVO favorável à aprovação do Projeto de Lei nº 2.543, de 2015.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=11%2F4%2F2019&txPagina=170&txSuplemento=&enviar=Pesquisar
1511,1156190,camara,PELA ORDEM,2019-04-10,NA,"Orientação de bancada na votação do Projeto de Lei nº 2.542-C, de 2015, sobre a alteração da Lei nº 11.107, de 2005, com vista à limitação das exigências legais de regularidade na celebração de convênios com a União ao próprio consórcio público envolvido.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=11%2F4%2F2019&txPagina=179&txSuplemento=&enviar=Pesquisar
1512,1156190,camara,COMO LÍDER,2019-04-15,NA,"Repúdio à censura imposta pelo Ministro do Supremo Tribunal Federal, Alexandre de Moraes, ao site O Antagonista  e à revista Crusoé.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=16%2F4%2F2019&txPagina=259&txSuplemento=&enviar=Pesquisar
1513,1156190,camara,PELA ORDEM,2019-04-16,NA,"Presença no plenário dos Vereadores Luia Barbacovi, Rafael Ronsoni e Renan Sartori, do Município de Gramado, Estado do Rio Grande do Sul. Apoio ao discurso do Vice-Líder do partido NOVO, em defesa da liberdade de expressão e da imprensa. Protesto contra a censura imposta pelo Ministro do Supremo Tribunal Federal, Alexandre de Moraes, a órgãos de comunicação suspeitos de ataques à Suprema Corte.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=17%2F4%2F2019&txPagina=121&txSuplemento=&enviar=Pesquisar
1514,1156190,camara,COMO LÍDER,2019-04-17,NA,Expectativa de aprovação da proposta de reforma previdenciária pela Comissão de Constituição e Justiça e de Cidadania. Importância da matéria para o combate a privilégios no âmbito da Previdência Social.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=18%2F4%2F2019&txPagina=89&txSuplemento=&enviar=Pesquisar
1515,1156190,camara,COMUNICAÇÃO PARLAMENTAR,2019-04-17,NA,Defesa da aprovação da proposta de emenda à Constituição relativa à alteração do sistema previdenciário.,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=18%2F4%2F2019&txPagina=93&txSuplemento=&enviar=Pesquisar
1516,1156190,camara,PELA ORDEM,2019-04-24,NA,"Orientação de bancada na votação do parecer da Comissão Mista quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária (Medida Provisória nº 859, de 2018, sobre a utilização de recursos do Fundo de Garantia do Tempo de Serviço - FGTS para financiamento de entidades hospitalares filantrópicas).",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=25%2F4%2F2019&txPagina=173&txSuplemento=&enviar=Pesquisar
1517,1156190,camara,COMO LÍDER,2019-04-24,NA,"Congratulações aos membros da Comissão de Constituição e Justiça e de Cidadania, pela aprovação da admissibilidade da proposta de emenda à Constituição sobre a reforma previdenciária. Caráter injusto do atual sistema previdenciário. Instalação, pela Casa, da Comissão Especial destinada ao exame da matéria.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=25%2F4%2F2019&txPagina=263&txSuplemento=&enviar=Pesquisar
1518,1156190,camara,PELA ORDEM,2019-05-07,NA,"Orientação de bancada na votação do requerimento de retirada de pauta da Medida Provisória nº 861, de 2018, sobre a transferência, da União para o Distrito Federal, da Junta Comercial do Distrito Federal e das atividades de registro público de empresas mercantis e atividades afins no Distrito Federal, e a alteração da Lei nº 8.934, de 1994, acerca do Registro Público de Empresas Mercantis e Atividades Afins.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=8%2F5%2F2019&txPagina=307&txSuplemento=&enviar=Pesquisar
1519,1156190,camara,PELA ORDEM,2019-05-07,NA,"Orientação de bancada na votação do Projeto de Lei de Conversão nº 5, de 2019, adotado pela Comissão Mista, à Medida Provisória nº 861, de 2018, sobre a transferência, da União para o Distrito Federal, da Junta Comercial do Distrito Federal e das atividades de registro público de empresas mercantis e atividades afins no Distrito Federal, e a alteração da Lei nº 8.934, de 1994, acerca do Registro Público de Empresas Mercantis e Atividades Afins, ressalvados os destaques.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=8%2F5%2F2019&txPagina=332&txSuplemento=&enviar=Pesquisar
