id_votacao,id_parlamentar_voz,voto
1198512-250,1204376,1
1198512-250,1204377,1
1198512-250,1204378,1
1198512-250,1204379,1
1198512-250,1204381,1
1198512-250,1204382,1
1198512-250,1204383,1
1198512-250,1204384,1
1198512-250,1204385,1
1198512-250,1204386,1
1198512-250,1204387,1
1198512-250,1204388,1
1198512-250,1204389,1
1198512-250,1204390,1
1198512-250,1204391,1
1198512-250,1204392,1
1198512-250,1204393,1
1198512-250,1204394,1
1198512-250,1204395,1
1198512-250,1204396,1
1198512-250,1204397,1
1198512-250,1204398,1
1198512-250,1204399,1
1198512-250,1204400,1
1198512-250,1204403,1
1198512-250,1204404,1
1198512-250,1204405,1
1198512-250,1204406,1
1198512-250,1204407,1
1198512-250,1204408,1
1198512-250,1204409,1
1198512-250,1204410,1
1198512-250,1204411,-1
1198512-250,1204412,1
1198512-250,1204413,1
1198512-250,1204414,1
1198512-250,1204415,1
1198512-250,1204416,1
1198512-250,1204418,1
1198512-250,1204419,1
1198512-250,1204420,1
1198512-250,1204421,1
1198512-250,1204422,1
1198512-250,1204423,1
1198512-250,1204425,1
1198512-250,1204426,1
1198512-250,1204427,1
1198512-250,1204428,1
1198512-250,1204429,1
1198512-250,1204430,1
1198512-250,1204431,1
1198512-250,1204432,1
1198512-250,1204433,1
1198512-250,1204434,1
1198512-250,1204435,1
1198512-250,1204436,1
1198512-250,1204437,1
1198512-250,1204438,1
1198512-250,1204439,1
1198512-250,1204440,1
1198512-250,1204441,1
1198512-250,1204442,1
1198512-250,1204444,1
1198512-250,1204446,1
1198512-250,1204447,1
1198512-250,1204448,1
1198512-250,1204449,1
1198512-250,1204450,1
1198512-250,1204451,1
1198512-250,1204452,-1
1198512-250,1204453,1
1198512-250,1204454,1
1198512-250,1204455,1
1198512-250,1204457,1
1198512-250,1204458,1
1198512-250,1204459,1
1198512-250,1204460,1
1198512-250,1204461,1
1198512-250,1204462,-1
1198512-250,1204463,1
1198512-250,1204465,1
1198512-250,1204466,1
1198512-250,1204467,1
1198512-250,1204468,1
1198512-250,1204469,1
1198512-250,1204471,1
1198512-250,1204472,1
1198512-250,1204473,1
1198512-250,1204474,1
1198512-250,1204475,1
1198512-250,1204476,1
1198512-250,1204477,1
1198512-250,1204478,1
1198512-250,1204479,1
1198512-250,1204480,1
1198512-250,1204481,1
1198512-250,1204483,1
1198512-250,1204484,1
1198512-250,1204485,1
1198512-250,1204486,1
1198512-250,1204487,1
1198512-250,1204488,1
1198512-250,1204489,1
1198512-250,1204490,1
1198512-250,1204491,1
1198512-250,1204492,1
1198512-250,1204494,1
1198512-250,1204495,1
1198512-250,1204496,1
1198512-250,1204497,1
1198512-250,1204498,1
1198512-250,1204499,1
1198512-250,1204500,1
1198512-250,1204501,1
1198512-250,1204502,1
1198512-250,1204503,1
1198512-250,1204504,1
1198512-250,1204505,1
1198512-250,1204506,1
1198512-250,1204507,1
1198512-250,1204508,1
1198512-250,1204509,1
1198512-250,1204510,1
1198512-250,1204511,1
1198512-250,1204512,1
1198512-250,1204513,1
1198512-250,1204515,1
1198512-250,1204516,1
1198512-250,1204517,1
1198512-250,1204518,1
1198512-250,1204519,1
1198512-250,1204520,-1
1198512-250,1204521,1
1198512-250,1204522,1
1198512-250,1204523,1
1198512-250,1204524,1
1198512-250,1204525,1
1198512-250,1204526,-1
1198512-250,1204527,1
1198512-250,1204528,1
1198512-250,1204529,1
1198512-250,1204530,1
1198512-250,1204531,1
1198512-250,1204532,1
1198512-250,1204533,1
1198512-250,1204534,1
1198512-250,1204535,1
1198512-250,1204536,1
1198512-250,1204537,1
1198512-250,1204538,1
1198512-250,1204539,1
1198512-250,1204540,1
1198512-250,1204541,1
1198512-250,1204542,1
1198512-250,1204544,1
1198512-250,1204545,1
1198512-250,1204546,1
1198512-250,1204547,1
1198512-250,1204548,1
1198512-250,1204549,1
1198512-250,1204550,1
1198512-250,1204551,1
1198512-250,1204552,1
1198512-250,1204553,1
1198512-250,1204554,1
1198512-250,1204555,1
1198512-250,1204556,1
1198512-250,1204557,1
1198512-250,1204558,1
1198512-250,1204559,1
1198512-250,1204560,1
1198512-250,1204561,1
1198512-250,1204562,1
1198512-250,1204563,1
1198512-250,1204564,1
1198512-250,1204565,1
1198512-250,1204566,1
1198512-250,1204567,1
1198512-250,1204569,1
1198512-250,1204570,1
1198512-250,1204571,1
1198512-250,1204572,1
1198512-250,1204573,1
1198512-250,1204575,1
1198512-250,1204576,1
1198512-250,1205476,1
1198512-250,1205548,1
1198512-250,1205550,1
1198512-250,1205863,1
1198512-250,1206231,1
1198512-250,1207176,1
1198512-250,1207309,1
1198512-250,1209189,1
1198512-250,1212749,1
1198512-250,1213274,1
1198512-250,1213679,1
1198512-250,1213762,1
1198512-250,1213856,1
1198512-254,162881,-1
1198512-254,166179,-1
1198512-254,166828,-1
1198512-254,167138,-1
1198512-254,168720,1
1198512-254,169871,1
1198512-254,173433,1
1198512-254,173460,1
1198512-254,173466,1
1198512-254,173482,1
1198512-254,173486,1
1198512-254,173531,1
1198512-254,173586,1
1198512-254,173604,1
1198512-254,173692,-1
1198512-254,173696,-1
1198512-254,173701,1
1198512-254,173772,-1
1198512-254,173788,-1
1198512-254,173801,1
1198512-254,173808,1
1198512-254,173943,1
1198512-254,174044,1
1198512-254,174052,-1
1198512-254,174057,1
1198512-254,174060,1
1198512-254,174075,-1
1198512-254,174156,1
1198512-254,174158,1
1198512-254,174159,1
1198512-254,174160,1
1198512-254,174161,1
1198512-254,174200,-1
1198512-254,174262,-1
1198512-254,174273,1
1198512-254,174283,1
1198512-254,174299,1
1198512-254,174317,-1
1198512-254,174356,-1
1198512-254,174366,-1
1198512-254,174371,1
1198512-254,174376,1
1198512-254,174383,-1
1198512-254,174398,1
1198512-254,174400,1
1198512-254,174419,1
1198512-254,174439,1
1198512-254,174459,-1
1198512-254,174467,1
1198512-254,174471,1
1198512-254,174478,-1
1198512-254,174537,-1
1198512-254,174574,-1
1198512-254,174585,-1
1198512-254,174646,-1
1198512-254,174655,-1
1198512-254,174693,-1
1198512-254,174749,-1
1198512-254,174784,1
1198512-254,174806,-1
1198512-254,174848,1
1198512-254,175431,-1
1198512-254,176874,1
1198512-254,181055,1
1198512-254,181297,-1
1198512-254,190201,-1
1198512-254,190842,-1
1198512-254,192102,-1
1198512-254,192346,-1
1198512-254,192699,-1
1198512-254,192776,1
1198512-254,193083,-1
1198512-254,198057,-1
1198512-254,1107283,1
1198512-254,1108338,1
1198512-254,1109429,-1
1198512-254,1112437,-1
1198512-254,1116379,-1
1198512-254,1121948,-1
1198512-254,1122158,-1
1198512-254,1128760,-1
1198512-254,1132504,1
1198512-254,1133439,1
1198512-254,1133810,-1
1198512-254,1133968,1
1198512-254,1134812,1
1198512-254,1135054,-1
1198512-254,1136811,-1
1198512-254,1137070,-1
1198512-254,1139285,1
1198512-254,1141335,1
1198512-254,1141391,1
1198512-254,1141398,1
1198512-254,1141401,-1
1198512-254,1141405,1
1198512-254,1141411,1
1198512-254,1141417,-1
1198512-254,1141421,1
1198512-254,1141422,-1
1198512-254,1141427,-1
1198512-254,1141431,-1
1198512-254,1141434,-1
1198512-254,1141450,-1
1198512-254,1141459,-1
1198512-254,1141464,1
1198512-254,1141470,1
1198512-254,1141488,1
1198512-254,1141508,1
1198512-254,1141513,-1
1198512-254,1141516,-1
1198512-254,1141518,-1
1198512-254,1141523,-1
1198512-254,1141531,-1
1198512-254,1141553,-1
1198512-254,1141555,-1
1198512-254,1143084,-1
1198512-254,1143632,1
1198512-254,1146307,-1
1198512-254,1146788,1
1198512-254,1150418,-1
1198512-254,1151208,-1
1198512-254,1152605,1
1198512-254,1152610,-1
1198512-254,1154178,-1
1198512-254,1156190,-1
1198512-254,1157130,1
1198512-254,1160508,1
1198512-254,1160510,-1
1198512-254,1160511,1
1198512-254,1160512,-1
1198512-254,1160518,1
1198512-254,1160527,-1
1198512-254,1160528,1
1198512-254,1160531,-1
1198512-254,1160532,-1
1198512-254,1160534,-1
1198512-254,1160535,1
1198512-254,1160538,1
1198512-254,1160541,-1
1198512-254,1160545,-1
1198512-254,1160552,-1
1198512-254,1160556,1
1198512-254,1160558,-1
1198512-254,1160559,-1
1198512-254,1160569,1
1198512-254,1160570,-1
1198512-254,1160575,1
1198512-254,1160587,1
1198512-254,1160588,-1
1198512-254,1160589,-1
1198512-254,1160591,-1
1198512-254,1160592,1
1198512-254,1160598,1
1198512-254,1160599,-1
1198512-254,1160600,-1
1198512-254,1160601,-1
1198512-254,1160604,1
1198512-254,1160610,1
1198512-254,1160619,1
1198512-254,1160632,-1
1198512-254,1160635,1
1198512-254,1160639,1
1198512-254,1160640,-1
1198512-254,1160641,1
1198512-254,1160645,-1
1198512-254,1160651,-1
1198512-254,1160653,1
1198512-254,1160655,-1
1198512-254,1160665,-1
1198512-254,1160666,1
1198512-254,1160669,-1
1198512-254,1160673,-1
1198512-254,1160674,-1
1198512-254,1160758,-1
1198512-254,1160976,1
1198512-254,1161550,1
1198512-254,1162332,-1
1198512-254,1164359,1
1198512-254,1164360,1
1198512-254,1166402,1
1198512-254,1171617,1
1198512-254,1171619,1
1198512-254,1177282,1
1198512-254,1178829,-1
1198512-254,1178831,-1
1198512-254,1178832,1
1198512-254,1178833,1
1198512-254,1178835,1
1198512-254,1178836,-1
1198512-254,1178839,1
1198512-254,1178842,1
1198512-254,1178843,1
1198512-254,1178854,-1
1198512-254,1178857,1
1198512-254,1178858,-1
1198512-254,1178860,-1
1198512-254,1178861,-1
1198512-254,1178863,1
1198512-254,1178866,1
1198512-254,1178871,-1
1198512-254,1178873,1
1198512-254,1178874,1
1198512-254,1178876,-1
1198512-254,1178879,-1
1198512-254,1178881,-1
1198512-254,1178882,-1
1198512-254,1178886,-1
1198512-254,1178889,1
1198512-254,1178895,-1
1198512-254,1178896,-1
1198512-254,1178908,-1
1198512-254,1178909,-1
1198512-254,1178910,-1
1198512-254,1178912,-1
1198512-254,1178916,1
1198512-254,1178920,1
1198512-254,1178921,-1
1198512-254,1178922,1
1198512-254,1178925,1
1198512-254,1178928,-1
1198512-254,1178929,-1
1198512-254,1178930,-1
1198512-254,1178931,1
1198512-254,1178933,-1
1198512-254,1178934,-1
1198512-254,1178939,1
1198512-254,1178945,-1
1198512-254,1178946,-1
1198512-254,1178947,-1
1198512-254,1178948,-1
1198512-254,1178951,1
1198512-254,1178953,1
1198512-254,1178954,1
1198512-254,1178956,-1
1198512-254,1178961,-1
1198512-254,1178962,-1
1198512-254,1178964,1
1198512-254,1178966,-1
1198512-254,1178969,1
1198512-254,1178970,1
