id_parlamentar_voz,ano,casa,dias_com_sessoes_deliberativas,dias_presentes,dias_ausencias_justificadas,dias_ausencias_nao_justificadas
1160528,2021,camara,79,79,0,0
1160531,2019,camara,113,91,20,2
1160531,2020,camara,102,90,12,0
1160531,2021,camara,79,79,0,0
1160532,2019,camara,111,104,0,7
1160532,2020,camara,75,75,0,0
1160532,2021,camara,79,78,0,1
1160534,2019,camara,113,108,4,1
1160534,2020,camara,102,98,3,1
1160534,2021,camara,79,79,0,0
1160535,2019,camara,113,96,11,6
1160535,2020,camara,102,98,3,1
1160535,2021,camara,79,79,0,0
1160538,2019,camara,113,108,5,0
1160538,2020,camara,102,99,2,1
1160538,2021,camara,79,79,0,0
1160541,2019,camara,113,76,37,0
1160541,2020,camara,102,70,32,0
1160541,2021,camara,79,72,7,0
1160545,2019,camara,113,111,0,2
1160545,2020,camara,102,101,1,0
1160545,2021,camara,79,79,0,0
1160552,2019,camara,113,94,4,15
1160552,2020,camara,102,95,3,4
1160552,2021,camara,36,34,0,2
1160553,2019,camara,113,106,5,2
1160553,2020,camara,102,100,1,1
1160553,2021,camara,79,79,0,0
1160556,2019,camara,113,105,5,3
1160556,2020,camara,102,99,2,1
1160556,2021,camara,79,77,2,0
1160558,2019,camara,113,66,40,7
1160558,2020,camara,102,98,3,1
1160558,2021,camara,79,72,7,0
1160559,2019,camara,113,85,27,1
1160559,2020,camara,102,101,1,0
1160559,2021,camara,79,78,1,0
1160569,2019,camara,113,103,9,1
1160569,2020,camara,102,97,4,1
1160569,2021,camara,79,77,2,0
1160570,2019,camara,113,88,25,0
1160570,2020,camara,102,94,8,0
1160570,2021,camara,79,78,1,0
1160575,2019,camara,113,110,3,0
1160575,2020,camara,102,100,1,1
1160575,2021,camara,79,79,0,0
1160587,2019,camara,113,113,0,0
1160587,2020,camara,102,98,4,0
1160587,2021,camara,79,78,1,0
1160588,2019,camara,113,98,7,8
1160588,2020,camara,102,98,4,0
1160588,2021,camara,79,75,4,0
1160589,2019,camara,113,99,9,5
1160589,2020,camara,102,99,3,0
1160589,2021,camara,79,78,1,0
1160591,2019,camara,108,56,30,22
1160591,2020,camara,48,42,5,1
1160591,2021,camara,79,78,0,1
1160592,2019,camara,113,102,10,1
1160592,2020,camara,102,98,2,2
1160592,2021,camara,79,79,0,0
1160598,2019,camara,113,100,9,4
1160598,2020,camara,102,99,2,1
1160598,2021,camara,79,78,1,0
1160599,2019,camara,113,111,1,1
1160599,2020,camara,102,100,2,0
1160599,2021,camara,79,79,0,0
