id_proposicao,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,orientacao,url_votacao
2242583,2242583-51,camara,"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão Especial, que conclui pela aprovação da matéria, na forma ...",2020-04-03T20:47:34Z,0,NA,0,1,NA
2242583,2242583-61,camara,"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão Especial, que conclui pela aprovação da matéria, na forma ...",2020-04-03T21:34:22Z,0,NA,0,1,NA
2242583,2242583-63,camara,"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão Especial, que conclui pela aprovação da matéria, na forma ...",2020-04-03T21:56:18Z,0,NA,0,1,NA
2242583,2242583-66,camara,"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão Especial, que conclui pela aprovação da matéria, na forma ...",2020-04-03T22:10:34Z,0,NA,0,1,NA
2242618,2242618-52,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Orlando Silva (PCdoB-SP), pela Comissão Mista do Congresso Nacional, que conclui pela c...",2020-05-28T19:43:25Z,0,NA,0,1,NA
2242618,2242618-79,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Orlando Silva (PCdoB-SP), pela Comissão Mista do Congresso Nacional, que conclui pela c...",2020-05-28T21:08:17Z,0,NA,0,1,NA
2242821,2242821-129,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Rodrigo Agostinho (PSB-SP), pela Comissão de Constituição e Justiça e de Cidadania, que...",2020-09-01T14:30:22Z,0,NA,0,1,NA
2242868,2242868-76,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Cezinha de Madureira (PSD-SP), pela Comissão de Constituição e Justiça e de Cidadania, ...",2020-04-16T22:43:04Z,0,NA,0,-1,NA
2242887,2242887-100,camara,"Apresentação da Declaração de Voto n. 9 MESA, pelo Deputado Gurgel  (PSL/RJ).",2020-06-30T16:29:19Z,0,NA,0,1,NA
2242887,2242887-109,camara,"Apresentação da Declaração de Voto n. 9 MESA, pelo Deputado Gurgel  (PSL/RJ).",2020-06-30T17:10:20Z,0,NA,0,-1,NA
2242887,2242887-152,camara,"Parecer proferido em Plenário pelo Relator, Dep. Zé Vitor (PL-MG), pela Comissão Mista do Congresso Nacional, que conclui pela constitucionalidade,...",2020-07-29T13:51:05Z,0,NA,0,-1,NA
2242887,2242887-57,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Zé Vitor (PL-MG), pela Comissão Mista do Congresso Nacional, que conclui pela constituc...",2020-06-25T16:41:06Z,0,NA,0,-1,NA
2242887,2242887-64,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Zé Vitor (PL-MG), pela Comissão Mista do Congresso Nacional, que conclui pela constituc...",2020-06-25T17:31:42Z,0,NA,0,-1,NA
2242887,2242887-67,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Zé Vitor (PL-MG), pela Comissão Mista do Congresso Nacional, que conclui pela constituc...",2020-06-25T18:02:12Z,0,NA,0,1,NA
2242887,2242887-82,camara,"Apresentação da Declaração de Voto n. 9 MESA, pelo Deputado Gurgel  (PSL/RJ).",2020-06-30T15:25:51Z,0,NA,0,-1,NA
2242887,2242887-95,camara,"Apresentação da Declaração de Voto n. 9 MESA, pelo Deputado Gurgel  (PSL/RJ).",2020-06-30T15:58:20Z,0,NA,0,-1,NA
2242888,2242888-100,camara,"Apresentação da Declaração de Voto n. 7 MESA, pelo Deputado João Daniel  (PT/SE).",2020-07-29T23:47:17Z,0,NA,0,1,NA
2242888,2242888-105,camara,"Apresentação da Declaração de Voto n. 7 MESA, pelo Deputado João Daniel  (PT/SE).",2020-07-30T00:14:55Z,0,NA,0,-1,NA
2242888,2242888-108,camara,"Apresentação da Declaração de Voto n. 7 MESA, pelo Deputado João Daniel  (PT/SE).",2020-07-30T00:32:51Z,0,NA,0,1,NA
2242888,2242888-111,camara,"Apresentação da Declaração de Voto n. 7 MESA, pelo Deputado João Daniel  (PT/SE).",2020-07-30T00:46:45Z,0,NA,0,1,NA
2242888,2242888-114,camara,"Apresentação da Declaração de Voto n. 7 MESA, pelo Deputado João Daniel  (PT/SE).",2020-07-30T01:24:34Z,0,NA,0,1,NA
2242888,2242888-115,camara,"Apresentação da Declaração de Voto n. 7 MESA, pelo Deputado João Daniel  (PT/SE).",2020-07-30T01:37:03Z,0,NA,0,1,NA
2242888,2242888-38,camara,"Apresentação do Requerimento de Retirada de Emenda a Medida Provisória n. 662/2020, pelo Deputado Paulo Pereira da Silva (SOLIDARI-SP), que: ""Reque...",2020-07-29T18:16:04Z,0,NA,0,-1,NA
2242888,2242888-48,camara,"Parecer proferido em Plenário pelo Relator, Dep. Felipe Francischini (PSL-PR), pela Comissão Mista do Congresso Nacional, que conclui pelo atendime...",2020-07-29T19:23:14Z,0,NA,0,-1,NA
2242888,2242888-56,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Felipe Francischini (PSL-PR), pela Comissão Mista do Congresso Nacional, que conclui pe...",2020-07-29T19:49:02Z,0,NA,0,-1,NA
