id_proposicao,id_votacao,id_parlamentar,casa,voto
2192459,2192459-114,141405,camara,1
2192459,2192459-114,141470,camara,-1
2192459,2192459-114,141488,camara,-1
2192459,2192459-114,141513,camara,1
2192459,2192459-114,141516,camara,1
2192459,2192459-114,146788,camara,1
2192459,2192459-114,160510,camara,1
2192459,2192459-114,160527,camara,1
2192459,2192459-114,160528,camara,-1
2192459,2192459-114,160559,camara,1
2192459,2192459-114,160587,camara,1
2192459,2192459-114,160600,camara,1
2192459,2192459-114,160642,camara,1
2192459,2192459-114,160665,camara,1
2192459,2192459-114,160669,camara,1
2192459,2192459-114,160673,camara,1
2192459,2192459-114,164359,camara,1
2192459,2192459-114,177282,camara,-1
2192459,2192459-114,178835,camara,-1
2192459,2192459-114,178860,camara,1
2192459,2192459-114,178908,camara,1
2192459,2192459-114,178929,camara,1
2192459,2192459-114,178939,camara,-1
2192459,2192459-114,178948,camara,1
2192459,2192459-114,178959,camara,1
2192459,2192459-114,178961,camara,1
2192459,2192459-114,178977,camara,1
2192459,2192459-114,178981,camara,1
2192459,2192459-114,178990,camara,1
2192459,2192459-114,179001,camara,1
2192459,2192459-114,193726,camara,1
2192459,2192459-114,204359,camara,1
2192459,2192459-114,204365,camara,1
2192459,2192459-114,204367,camara,1
2192459,2192459-114,204369,camara,1
2192459,2192459-114,204374,camara,1
2192459,2192459-114,204398,camara,1
2192459,2192459-114,204418,camara,1
2192459,2192459-114,204429,camara,-1
2192459,2192459-114,204430,camara,1
2192459,2192459-114,204438,camara,1
2192459,2192459-114,204464,camara,-1
2192459,2192459-114,204468,camara,-1
2192459,2192459-114,204479,camara,1
2192459,2192459-114,204501,camara,-1
2192459,2192459-114,204512,camara,1
2192459,2192459-114,204527,camara,1
2192459,2192459-114,204537,camara,1
2192459,2192459-114,204541,camara,-1
2192459,2192459-114,204543,camara,-1
2192459,2192459-114,204556,camara,1
2192459,2192459-114,204562,camara,1
2192459,2192459-114,204575,camara,-1
2192459,2192459-114,204576,camara,1
2192459,2192459-114,205865,camara,1
2192459,2192459-503,73891,camara,-1
2192459,2192459-503,112437,camara,-1
2192459,2192459-503,116379,camara,-1
2192459,2192459-503,122158,camara,-1
2192459,2192459-503,133810,camara,-1
2192459,2192459-503,141408,camara,-1
2192459,2192459-503,141513,camara,-1
2192459,2192459-503,160570,camara,-1
2192459,2192459-503,160673,camara,-1
