id_parlamentar,casa,ano,dias_ausencias_justificadas,dias_ausencias_nao_justificadas,dias_com_sessoes_deliberativas,dias_presentes
160558,camara,2019,38,6,107,63
160558,camara,2020,1,1,78,76
160559,camara,2019,23,1,107,83
160559,camara,2020,1,0,78,77
160569,camara,2019,9,1,107,97
160569,camara,2020,3,0,78,75
160570,camara,2019,23,0,107,84
160570,camara,2020,5,0,78,73
160575,camara,2019,3,0,107,104
160575,camara,2020,1,1,78,76
160587,camara,2019,0,0,107,107
160587,camara,2020,2,0,78,76
160588,camara,2019,7,8,107,92
160588,camara,2020,5,0,78,73
160589,camara,2019,8,5,107,94
160589,camara,2020,1,0,78,77
160591,camara,2019,28,21,102,53
160591,camara,2020,4,1,31,26
160592,camara,2019,9,0,107,98
160592,camara,2020,2,2,78,74
160598,camara,2019,9,4,107,94
160598,camara,2020,1,1,78,76
160599,camara,2019,1,1,107,105
160599,camara,2020,2,0,78,76
160600,camara,2019,15,11,107,81
160600,camara,2020,7,0,78,71
160601,camara,2019,19,1,107,87
160601,camara,2020,1,0,78,77
160604,camara,2019,0,3,107,104
160604,camara,2020,4,2,78,72
160610,camara,2019,2,1,107,104
160610,camara,2020,0,0,78,78
160619,camara,2019,0,0,107,107
160619,camara,2020,5,0,78,73
160621,camara,2019,0,0,1,1
160632,camara,2019,7,4,107,96
160632,camara,2020,2,0,78,76
160635,camara,2019,6,2,107,99
160635,camara,2020,3,0,78,75
160639,camara,2019,9,7,107,91
160639,camara,2020,2,0,78,76
160640,camara,2019,11,7,107,89
160640,camara,2020,2,0,78,76
160641,camara,2019,5,0,107,102
160641,camara,2020,1,1,78,76
160642,camara,2019,3,4,107,100
160642,camara,2020,13,0,78,65
160645,camara,2019,4,6,107,97
160645,camara,2020,5,3,78,70
160651,camara,2019,7,0,107,100
160651,camara,2020,1,0,74,73
160653,camara,2019,16,0,107,91
160653,camara,2020,0,0,78,78
160655,camara,2019,10,8,107,89
160655,camara,2020,3,1,78,74
160665,camara,2019,17,0,107,90
160665,camara,2020,0,0,78,78
160666,camara,2019,8,0,107,99
160666,camara,2020,2,1,78,75
160667,camara,2019,3,18,63,42
160667,camara,2020,11,5,78,62
160669,camara,2019,17,22,107,68
160669,camara,2020,3,2,78,73
160673,camara,2019,8,1,107,98
160673,camara,2020,4,0,78,74
160674,camara,2019,3,3,107,101
160674,camara,2020,0,3,78,75
160758,camara,2019,6,2,107,99
160758,camara,2020,3,0,78,75
160976,camara,2019,21,1,107,85
160976,camara,2020,1,0,78,77
161550,camara,2019,6,0,107,101
161550,camara,2020,1,0,78,77
162332,camara,2019,19,1,107,87
162332,camara,2020,1,0,78,77
164359,camara,2019,20,0,107,87
164359,camara,2020,2,1,78,75
164360,camara,2019,1,0,107,106
164360,camara,2020,1,0,78,77
166402,camara,2019,7,17,107,83
166402,camara,2020,4,0,78,74
168175,camara,2019,0,0,5,5
171617,camara,2019,4,0,107,103
171617,camara,2020,2,0,78,76
171619,camara,2019,4,2,107,101
171619,camara,2020,1,0,78,77
171623,camara,2019,11,7,107,89
171623,camara,2020,2,1,78,75
177282,camara,2019,2,1,107,104
177282,camara,2020,2,0,78,76
178825,camara,2020,0,0,1,1
178829,camara,2019,2,0,107,105
178829,camara,2020,0,0,78,78
178830,camara,2020,1,0,69,68
178831,camara,2019,4,4,107,99
178831,camara,2020,2,0,78,76
178832,camara,2019,25,0,107,82
178832,camara,2020,4,0,78,74
178833,camara,2019,13,14,107,80
178833,camara,2020,1,4,78,73
178835,camara,2019,6,1,107,100
178835,camara,2020,1,0,78,77
178836,camara,2019,4,0,107,103
178836,camara,2020,1,0,78,77
178839,camara,2019,16,8,107,83
178839,camara,2020,1,0,78,77
178842,camara,2019,14,11,107,82
178842,camara,2020,1,3,78,74
178843,camara,2019,14,5,107,88
178843,camara,2020,1,3,78,74
178854,camara,2019,28,0,107,79
178854,camara,2020,1,1,78,76
178857,camara,2019,9,1,107,97
178857,camara,2020,2,1,78,75
178858,camara,2019,16,0,107,91
178858,camara,2020,0,0,78,78
178860,camara,2019,3,2,107,102
178860,camara,2020,2,0,78,76
178861,camara,2019,10,3,107,94
178861,camara,2020,1,3,78,74
178863,camara,2019,11,1,107,95
178863,camara,2020,5,1,78,72
178866,camara,2019,20,6,107,81
178866,camara,2020,2,1,78,75
178871,camara,2019,7,2,107,98
178871,camara,2020,1,0,78,77
178873,camara,2019,9,0,107,98
178873,camara,2020,1,1,78,76
178874,camara,2019,3,0,107,104
178874,camara,2020,0,0,78,78
178876,camara,2019,5,0,107,102
178876,camara,2020,0,0,78,78
178879,camara,2019,9,7,107,91
178879,camara,2020,1,0,78,77
178881,camara,2019,10,0,107,97
178881,camara,2020,8,0,78,70
178882,camara,2019,38,0,107,69
178882,camara,2020,11,0,78,67
178884,camara,2019,6,3,107,98
178884,camara,2020,0,1,78,77
178886,camara,2019,6,11,107,90
178886,camara,2020,1,1,78,76
178887,camara,2020,0,0,6,6
178889,camara,2019,26,0,107,81
178889,camara,2020,0,1,78,77
178895,camara,2019,27,0,107,80
178895,camara,2020,4,0,78,74
178896,camara,2019,15,7,107,85
178896,camara,2020,4,0,78,74
178901,camara,2019,0,0,7,7
178908,camara,2019,3,6,107,98
178908,camara,2020,0,1,78,77
178909,camara,2019,10,2,107,95
178909,camara,2020,0,1,78,77
178910,camara,2019,3,0,107,104
178910,camara,2020,0,0,78,78
178912,camara,2019,4,1,107,102
178912,camara,2020,0,0,78,78
178916,camara,2019,6,0,107,101
178916,camara,2020,0,3,78,75
178920,camara,2019,3,4,107,100
178920,camara,2020,6,0,78,72
178921,camara,2019,18,22,107,67
178921,camara,2020,1,8,78,69
178922,camara,2019,17,0,107,90
178922,camara,2020,4,2,78,72
178924,camara,2019,0,1,22,21
178924,camara,2020,1,1,34,32
178925,camara,2019,11,0,107,96
178925,camara,2020,4,1,78,73
178927,camara,2019,0,0,107,107
178927,camara,2020,1,0,78,77
178928,camara,2019,3,0,107,104
178928,camara,2020,0,0,78,78
178929,camara,2019,1,1,107,105
178929,camara,2020,0,0,78,78
178930,camara,2019,12,2,106,92
178930,camara,2020,8,1,78,69
178931,camara,2019,2,15,107,90
178931,camara,2020,2,1,78,75
178933,camara,2019,2,2,107,103
178933,camara,2020,1,2,78,75
178934,camara,2019,16,0,107,91
178934,camara,2020,11,0,78,67
178937,camara,2019,5,8,107,94
178937,camara,2020,0,1,3,2
178939,camara,2019,2,7,107,98
178939,camara,2020,2,0,78,76
178945,camara,2019,10,0,107,97
178945,camara,2020,0,2,78,76
178946,camara,2019,28,0,107,79
178946,camara,2020,12,0,78,66
178947,camara,2019,0,3,107,104
178947,camara,2020,1,1,78,76
178948,camara,2019,19,5,107,83
178948,camara,2020,1,6,78,71
178951,camara,2019,16,0,107,91
178951,camara,2020,5,0,78,73
178952,camara,2019,2,0,107,105
178952,camara,2020,1,0,78,77
178953,camara,2019,12,2,107,93
178953,camara,2020,4,0,78,74
178954,camara,2019,13,7,107,87
178954,camara,2020,2,2,78,74
178956,camara,2019,11,1,107,95
178956,camara,2020,2,1,78,75
178959,camara,2019,12,3,107,92
178959,camara,2020,4,0,78,74
178961,camara,2019,13,8,107,86
178961,camara,2020,2,0,78,76
178962,camara,2019,2,1,107,104
178962,camara,2020,3,0,78,75
178963,camara,2019,0,0,3,3
178964,camara,2019,8,3,107,96
178964,camara,2020,2,2,78,74
178966,camara,2019,1,0,107,106
178966,camara,2020,1,0,78,77
178969,camara,2019,17,4,107,86
178969,camara,2020,0,1,78,77
178970,camara,2019,2,0,107,105
178970,camara,2020,0,0,78,78
178972,camara,2019,12,1,107,94
178972,camara,2020,1,0,78,77
178975,camara,2019,15,0,107,92
178975,camara,2020,4,0,78,74
178977,camara,2019,11,1,107,95
178977,camara,2020,1,0,78,77
178981,camara,2019,7,6,107,94
178981,camara,2020,10,1,78,67
178982,camara,2019,0,0,1,1
178982,camara,2020,1,0,33,32
178983,camara,2019,0,0,107,107
178983,camara,2020,0,0,78,78
178984,camara,2019,9,4,43,30
178984,camara,2020,0,1,21,20
178985,camara,2019,0,0,107,107
178985,camara,2020,1,0,78,77
178986,camara,2019,6,0,107,101
178986,camara,2020,4,1,78,73
178987,camara,2019,6,3,107,98
178987,camara,2020,1,1,78,76
178989,camara,2019,26,0,107,81
178989,camara,2020,0,0,9,9
178990,camara,2019,5,0,107,102
178990,camara,2020,0,0,78,78
178992,camara,2019,4,1,107,102
178992,camara,2020,1,1,78,76
178993,camara,2019,1,1,107,105
178993,camara,2020,0,7,78,71
178994,camara,2019,14,0,107,93
178994,camara,2020,1,0,78,77
178996,camara,2019,0,1,107,106
178996,camara,2020,1,0,78,77
178997,camara,2019,2,5,81,74
178997,camara,2020,1,2,75,72
179000,camara,2019,0,0,6,6
179001,camara,2019,2,7,107,98
179001,camara,2020,0,1,78,77
179587,camara,2019,29,0,107,78
179587,camara,2020,9,0,78,69
188097,camara,2019,2,0,31,29
188097,camara,2020,0,1,25,24
191923,camara,2019,6,0,107,101
191923,camara,2020,1,0,78,77
193726,camara,2019,1,0,107,106
193726,camara,2020,0,1,78,77
194260,camara,2019,0,7,107,100
194260,camara,2020,0,3,78,75
195866,camara,2019,0,0,107,107
195866,camara,2020,1,0,53,52
196358,camara,2019,2,0,107,105
196358,camara,2020,0,0,78,78
197438,camara,2019,2,1,107,104
197438,camara,2020,1,0,44,43
198197,camara,2019,13,0,92,79
198783,camara,2019,0,2,107,105
198783,camara,2020,2,1,78,75
204351,camara,2019,6,3,107,98
